"identif","n"
"PM20976",706
"PM10561",406
"PM10981",264
"PM10091",241
"PM41453",237
"PM42052",167
"PM11981",132
"PM10021",103
"PM20233",93
"PM31453",84
"PM40751",67
"PM12981",62
"PM12061",60
"PM11101",56
"PM12241",42
"PM33032",41
"PM12211",39
"PM20041",39
"PM33031",30
"PM10945",29
"PM21941",22
"PM20571",21
"PM10001",20
"PM20471",20
"PM43032",18
"PM12921",17
"PM20661",16
"PM20831",10
"PM20473",9
"PM41882",7
"PM22392",4
"PM10444",2
"PM20002",2
"PM20834",2
"PM22971",2
"PM31891",2
"PM41891",2
"PM10005",1
"PM10341",1
"PM13222",1
"PM20025",1
"PM20411",1
"PM20721",1
"PM20832",1
"PM22572",1
"PM31881",1
"PM10612",2784
"PM43151",2784
"PM107641",2784
"PM10942",2784
"PM20873",2784
"PM20262",2784
"PM22341",2784
"PM41451",2512
"PM107631",2784
"PM43222",2784
"PM40754",2784
"PM23187",2784
"PM43202",2784
"PM13103",2781
"PM31451",2277
"PM20912",2781
"PM20972",2755
"PM41261",2779
"PM10141",2779
"PM10901",2784
"PM12122",2784
"PM22241",2784
"PM43223",2784
"PM43001",2784
"PM10907",2784
"PM20722",2784
"PM33151",2784
"PM41892",2783
"PM23011",2784
"PM21236",2637
"PM12571",2784
"PM23071",2784
"PM13104",2781
"PM13014",2784
"PM20412",2782
"PM22391",2784
"PM10662",2784
"PM10441",2784
"PM43011",2784
"PM40902",2781
"PM10832",2781
"PM13181",2784
"PM20232",2784
"PM10712",2784
"PM31263",2779
"PM22211",2784
