"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","0","1620","18","20","19","Tuesday","28","11"
"PM10021","0","2040","51","44","19","Tuesday","28","11"
"PM10091","0","4260","31","26","19","Tuesday","28","11"
"PM10092","0","1020","4","12","19","Tuesday","28","11"
"PM10141","0","3600","20","23","19","Tuesday","28","11"
"PM10142","0","1560","39","20","19","Tuesday","28","11"
"PM10211","0","2820","40","43","19","Tuesday","28","11"
"PM10212","0","3360","33","28","19","Tuesday","28","11"
"PM10241","0","2580","39","33","19","Tuesday","28","11"
"PM10242","0","4140","28","36","19","Tuesday","28","11"
"PM10341","0","3360","36","41","19","Tuesday","28","11"
"PM10342","0","2460","40","63","19","Tuesday","28","11"
"PM10343","0","900","17","60","19","Tuesday","28","11"
"PM10344","0","540","7","59","19","Tuesday","28","11"
"PM10401","0","4380","35","44","19","Tuesday","28","11"
"PM10402","0","2640","42","71","19","Tuesday","28","11"
"PM10441","0","3780","33","67","19","Tuesday","28","11"
"PM10442","0","2400","36","64","19","Tuesday","28","11"
"PM10444","0","1140","26","46","19","Tuesday","28","11"
"PM10472","0","2640","41","69","19","Tuesday","28","11"
"PM10501","0","4020","30","77","19","Tuesday","28","11"
"PM10502","0","5460","29","55","19","Tuesday","28","11"
"PM10561","0","4140","33","54","19","Tuesday","28","11"
"PM10611","0","5820","14","58","19","Tuesday","28","11"
"PM10612","0","3300","15","70","19","Tuesday","28","11"
"PM10661","0","4740","16","72","19","Tuesday","28","11"
"PM10662","0","4200","18","67","19","Tuesday","28","11"
"PM10711","0","6540","15","47","19","Tuesday","28","11"
"PM10712","0","3420","9","49","19","Tuesday","28","11"
"PM30754","0","3600","12","63","19","Tuesday","28","11"
"PM10831","0","5760","9","51","19","Tuesday","28","11"
"PM10832","0","6180","15","64","19","Tuesday","28","11"
"PM10861","0","4560","8","79","19","Tuesday","28","11"
"PM10862","0","3480","11","50","19","Tuesday","28","11"
"PM10865","0","3060","17","83","19","Tuesday","28","11"
"PM10901","0","2880","15","66","19","Tuesday","28","11"
"PM10902","0","3120","18","81","19","Tuesday","28","11"
"PM10907","0","1740","14","40","19","Tuesday","28","11"
