"identif","ds","carga","intensidad","ocupacion","vmed","vel.med","carga.med","carga.15","vmed.15","carga.30","vmed.30","carga.45","vmed.45","Hora","diaSemana","diaMes","Mes","fechaTrunc","Dia_semana","festivo","Tipo de Festivo","Festividad"
"PM10001",2016-11-28 01:00:00,0.06,333,1,39.2015074,0.1639255,0.4127924,0.04,0.5295983,0.03,0.4803074,0.03,0.5293658,"01","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 01:15:00,0.04,205,1,39.2015074,0.1639255,0.4127924,0.03,0.4804698,0.03,0.5294352,0.04,0.676717,"01","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 01:30:00,0.03,167,0,35.5660206,0.1639255,0.4127924,0.03,0.5295983,0.04,0.6768183,0.05,0.1855462,"01","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 01:45:00,0.03,204,0,39.2015074,0.1639255,0.4127924,0.04,0.6769837,0.05,0.1855411,0.03,0.3328975,"01","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 02:00:00,0.04,164,1,50.107953,0.1639255,0.4127924,0.05,0.1856991,0.03,0.3329243,0.02,-0.2565075,"02","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 02:15:00,0.05,252,0,13.7531294,0.1639255,0.4127924,0.03,0.3330845,0.02,-0.2566083,0.03,0.6275999,"02","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 02:30:00,0.03,172,1,24.659575,0.1639255,0.4127924,0.02,-0.256457,0.03,0.6276906,0.01,-0.5512099,"02","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 03:00:00,0.03,128,0,46.4724736,0.1639255,0.4127924,0.01,-0.5512277,0.01,0.1855411,0.02,0.3820145,"03","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 03:30:00,0.01,96,0,13.7531294,0.1639255,0.4127924,0.02,0.3822129,0.01,-0.6496301,0.02,0.3328975,"03","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 03:45:00,0.02,107,0,28.2950618,0.1639255,0.4127924,0.01,-0.6494846,0.02,0.3329243,0.02,-0.01092208,"03","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 04:15:00,0.02,127,1,24.659575,0.1639255,0.4127924,0.02,-0.01081472,0.04,0.4803074,0.02,0.2837804,"04","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 04:45:00,0.04,172,1,35.5660206,0.1639255,0.4127924,0.02,0.283956,0.03,0.1855411,0.05,0.7749512,"04","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 05:00:00,0.02,187,0,21.0240956,0.1639255,0.4127924,0.03,0.1856991,0.05,0.7750737,0.07,0.8240682,"05","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 05:15:00,0.03,244,0,13.7531294,0.1639255,0.4127924,0.05,0.7752406,0.07,0.8242015,0.08,0.8240682,"05","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 05:30:00,0.05,344,1,57.3789192,0.1639255,0.4127924,0.07,0.824369,0.08,0.8242015,0.14,0.7749512,"05","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 05:45:00,0.07,460,1,61.0143986,0.1639255,0.4127924,0.08,0.824369,0.14,0.7750737,0.18,0.8240682,"05","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 06:00:00,0.08,592,2,61.0143986,0.1639255,0.4127924,0.14,0.7752406,0.18,0.8242015,0.27,0.7258341,"06","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 06:15:00,0.14,928,1,57.3789192,0.1639255,0.4127924,0.18,0.824369,0.27,0.725946,0.4,0.7258341,"06","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 06:30:00,0.18,1172,3,61.0143986,0.1639255,0.4127924,0.27,0.7261121,0.4,0.725946,0.52,0.4802487,"06","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 06:45:00,0.27,1785,5,53.7434324,0.1639255,0.4127924,0.4,0.7261121,0.52,0.4803074,0.7,0.3328975,"06","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 07:00:00,0.4,2592,6,53.7434324,0.1639255,0.4127924,0.52,0.4804698,0.7,0.3329243,0.82,-0.1091562,"07","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 07:15:00,0.52,3540,9,35.5660206,0.1639255,0.4127924,0.7,0.3330845,0.82,-0.1092252,0.86,-0.4038587,"07","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 07:30:00,0.7,4812,12,24.659575,0.1639255,0.4127924,0.82,-0.1090716,0.86,-0.4039915,0.89,-0.5512099,"07","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 10:15:00,0.57,3883,11,17.3886088,0.1639255,0.4127924,0.57,0.283956,0.58,0.382052,0.61,0.3328975,"10","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 10:30:00,0.57,3840,10,21.0240956,0.1639255,0.4127924,0.58,0.3822129,0.61,0.3329243,0.59,0.3328975,"10","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 10:45:00,0.58,4080,10,28.2950618,0.1639255,0.4127924,0.61,0.3330845,0.59,0.3329243,0.59,0.3328975,"10","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 11:00:00,0.61,4108,11,24.659575,0.1639255,0.4127924,0.59,0.3330845,0.59,0.3329243,0.6,0.3328975,"11","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 11:15:00,0.59,4068,10,24.659575,0.1639255,0.4127924,0.59,0.3330845,0.6,0.3329243,0.6,0.2837804,"11","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 11:30:00,0.59,4083,12,24.659575,0.1639255,0.4127924,0.6,0.3330845,0.6,0.2837966,0.6,0.2346633,"11","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 11:45:00,0.6,4132,11,24.659575,0.1639255,0.4127924,0.6,0.283956,0.6,0.2346688,0.61,0.2837804,"11","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 12:00:00,0.6,4091,11,21.0240956,0.1639255,0.4127924,0.6,0.2348276,0.61,0.2837966,0.6,0.2346633,"12","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 12:15:00,0.6,4123,11,17.3886088,0.1639255,0.4127924,0.61,0.283956,0.6,0.2346688,0.62,0.2837804,"12","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 12:30:00,0.61,4132,12,21.0240956,0.1639255,0.4127924,0.6,0.2348276,0.62,0.2837966,0.62,0.2837804,"12","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 12:45:00,0.6,4172,11,17.3886088,0.1639255,0.4127924,0.62,0.283956,0.62,0.2837966,0.66,0.2837804,"12","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 13:00:00,0.62,4308,11,21.0240956,0.1639255,0.4127924,0.62,0.283956,0.66,0.2837966,0.71,0.1855462,"13","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 13:15:00,0.62,4332,10,21.0240956,0.1639255,0.4127924,0.66,0.283956,0.71,0.1855411,0.7,0.1364292,"13","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 13:30:00,0.66,4604,12,21.0240956,0.1639255,0.4127924,0.71,0.1856991,0.7,0.1364134,0.77,0.038195,"13","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 13:45:00,0.71,4919,14,13.7531294,0.1639255,0.4127924,0.7,0.1365706,0.77,0.03815797,0.72,0.1364292,"13","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 14:00:00,0.7,5008,13,10.11765,0.1639255,0.4127924,0.77,0.03831374,0.72,0.1364134,0.66,0.2837804,"14","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 14:15:00,0.77,5515,14,2.84668158,0.1639255,0.4127924,0.72,0.1365706,0.66,0.2837966,0.62,0.2837804,"14","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 14:30:00,0.72,5107,16,10.11765,0.1639255,0.4127924,0.66,0.283956,0.62,0.2837966,0.75,0.1364292,"14","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 14:45:00,0.66,4557,11,21.0240956,0.1639255,0.4127924,0.62,0.283956,0.75,0.1364134,0.74,-0.1091562,"14","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 15:00:00,0.62,4228,11,21.0240956,0.1639255,0.4127924,0.75,0.1365706,0.74,-0.1092252,0.66,0.1364292,"15","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 15:15:00,0.75,5383,13,10.11765,0.1639255,0.4127924,0.74,-0.1090716,0.66,0.1364134,0.69,0.08731208,"15","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 15:45:00,0.66,4616,12,10.11765,0.1639255,0.4127924,0.69,0.08744219,0.7,-0.01096975,0.77,-0.4529758,"15","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 16:00:00,0.69,4804,14,6.48216394,0.1639255,0.4127924,0.7,-0.01081472,0.77,-0.4531192,0.76,-0.5020928,"16","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 20:45:00,0.58,3940,10,2.84668158,0.1639255,0.4127924,0.54,0.1365706,0.52,0.2837966,0.5,0.2346633,"20","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 21:00:00,0.54,3600,10,10.11765,0.1639255,0.4127924,0.52,0.283956,0.5,0.2346688,0.42,0.3820145,"21","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 21:15:00,0.52,3536,10,21.0240956,0.1639255,0.4127924,0.5,0.2348276,0.42,0.382052,0.35,0.4802487,"21","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 21:30:00,0.5,3300,11,17.3886088,0.1639255,0.4127924,0.42,0.3822129,0.35,0.4803074,0.41,0.3820145,"21","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 21:45:00,0.42,2840,7,28.2950618,0.1639255,0.4127924,0.35,0.4804698,0.41,0.382052,0.35,0.3820145,"21","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 22:00:00,0.35,2396,7,35.5660206,0.1639255,0.4127924,0.41,0.3822129,0.35,0.382052,0.25,0.4802487,"22","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 22:15:00,0.41,2748,6,28.2950618,0.1639255,0.4127924,0.35,0.3822129,0.25,0.4803074,0.22,0.676717,"22","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 22:30:00,0.35,2393,7,28.2950618,0.1639255,0.4127924,0.25,0.4804698,0.22,0.6768183,0.19,0.7258341,"22","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 22:45:00,0.25,1580,5,35.5660206,0.1639255,0.4127924,0.22,0.6769837,0.19,0.725946,0.19,0.6275999,"22","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 23:00:00,0.22,1468,4,50.107953,0.1639255,0.4127924,0.19,0.7261121,0.19,0.6276906,0.15,0.676717,"23","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 23:15:00,0.19,1189,3,53.7434324,0.1639255,0.4127924,0.19,0.6278552,0.15,0.6768183,0.14,0.5293658,"23","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 23:30:00,0.19,1164,4,46.4724736,0.1639255,0.4127924,0.15,0.6769837,0.14,0.5294352,0.11,0.6275999,"23","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-28 23:45:00,0.15,944,3,50.107953,0.1639255,0.4127924,0.14,0.5295983,0.11,0.6276906,0.08,0.5293658,"23","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10001",2016-11-29 00:00:00,0.14,876,3,39.2015074,0.1639255,0.4127924,0.11,0.6278552,0.08,0.5294352,0.08,0.676717,"00","Monday","28","11",2016-11-29,"martes","laborable",NA,NA
"PM10001",2016-11-29 00:15:00,0.11,721,2,46.4724736,0.1639255,0.4127924,0.08,0.5295983,0.08,0.6768183,0.06,0.676717,"00","Monday","28","11",2016-11-29,"martes","laborable",NA,NA
"PM10001",2016-11-29 00:30:00,0.08,525,1,39.2015074,0.1639255,0.4127924,0.08,0.6769837,0.06,0.6768183,0.04,0.9714195,"00","Monday","28","11",2016-11-29,"martes","laborable",NA,NA
"PM10001",2016-11-29 00:45:00,0.08,485,2,50.107953,0.1639255,0.4127924,0.06,0.6769837,0.04,0.9715846,0.03,0.6275999,"00","Monday","28","11",2016-11-29,"martes","laborable",NA,NA
"PM10005",2016-11-28 01:15:00,0.03,75,1,61.0143986,0.03871371,0.3220621,0.03,-0.256457,0.02,-0.9443964,0.03,-1.337083,"01","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 05:30:00,0.04,61,0,10.11765,0.03871371,0.3220621,0.03,0.7261121,0.05,0.725946,0.09,1.511707,"05","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 05:45:00,0.03,72,0,53.7434324,0.03871371,0.3220621,0.05,0.7261121,0.09,1.51199,0.16,1.511707,"05","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 06:00:00,0.05,124,0,53.7434324,0.03871371,0.3220621,0.09,1.512167,0.16,1.51199,0.22,1.315239,"06","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 06:15:00,0.09,183,1,111.911162,0.03871371,0.3220621,0.16,1.512167,0.22,1.315479,0.29,1.266122,"06","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 06:30:00,0.16,332,2,111.911162,0.03871371,0.3220621,0.22,1.315654,0.29,1.266351,0.49,0.8240682,"06","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 06:45:00,0.22,508,3,97.3692,0.03871371,0.3220621,0.29,1.266525,0.49,0.8242015,0.53,0.7258341,"06","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 07:00:00,0.29,664,3,93.733728,0.03871371,0.3220621,0.49,0.824369,0.53,0.725946,0.52,0.3820145,"07","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 07:15:00,0.49,1112,8,61.0143986,0.03871371,0.3220621,0.53,0.7261121,0.52,0.382052,0.46,0.1855462,"07","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 07:30:00,0.53,1256,10,53.7434324,0.03871371,0.3220621,0.52,0.3822129,0.46,0.1855411,0.49,-0.1582733,"07","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 07:45:00,0.52,1175,10,28.2950618,0.03871371,0.3220621,0.46,0.1856991,0.49,-0.1583529,0.52,-0.3056245,"07","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 08:00:00,0.46,1024,9,13.7531294,0.03871371,0.3220621,0.49,-0.1582001,0.52,-0.3057361,0.51,-1.337083,"08","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 10:30:00,0.5,1120,9,39.2015074,0.03871371,0.3220621,0.51,0.6769837,0.55,0.4803074,0.44,0.5784828,"10","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 10:45:00,0.51,1166,9,50.107953,0.03871371,0.3220621,0.55,0.4804698,0.44,0.5785629,0.49,0.6275999,"10","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 11:00:00,0.55,1220,10,35.5660206,0.03871371,0.3220621,0.44,0.5787268,0.49,0.6276906,0.55,0.5784828,"11","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 11:15:00,0.44,1000,8,42.8369868,0.03871371,0.3220621,0.49,0.6278552,0.55,0.5785629,0.51,0.5293658,"11","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 11:30:00,0.49,1112,9,46.4724736,0.03871371,0.3220621,0.55,0.5787268,0.51,0.5294352,0.54,0.4802487,"11","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
"PM10005",2016-11-28 11:45:00,0.55,1236,11,42.8369868,0.03871371,0.3220621,0.51,0.5295983,0.54,0.4803074,0.5,0.4311316,"11","Monday","28","11",2016-11-28,"lunes","laborable",NA,NA
